Code,Country,Description,Rate
4386164,,Cellular Tmobile,0
438703411,,Cellular Tmobile,0
438706411,,Cellular Tmobile,0
438713411,,Cellular Tmobile,0
438716411,,Cellular Tmobile,0
994,,,0
99412,,Baku,0
99440,,Cellular Catel,0
99444,,Cellular,0
99450,,Cellular Azercell,0
99451,,Cellular Azercell,0
99455,,Cellular Bakcell,0
99460,,Cellular,0
99470,,Cellular Azerphone,0
99477,,Cellular Azerphone,0
1242,,,0
1242357,,Cellular,0
1242359,,Cellular,0
1242375,,Cellular,0
1242376,,Cellular,0
1242395,,Cellular,0
1242421,,Cellular,0
1242422,,Cellular,0
1242423,,Cellular,0
1242424,,Cellular,0
1242425,,Cellular,0
1242426,,Cellular,0
1242427,,Cellular,0
1242428,,Cellular,0
1242429,,Cellular,0
1242431,,Cellular,0
1242432,,Cellular,0
1242433,,Cellular,0
1242434,,Cellular,0
1242435,,Cellular,0
1242436,,Cellular,0
1242437,,Cellular,0
1242438,,Cellular,0
1242439,,Cellular,0
1242441,,Cellular,0
1242442,,Cellular,0
1242443,,Cellular,0
1242445,,Cellular,0
1242446,,Cellular,0
1242447,,Cellular,0
1242448,,Cellular,0
1242449,,Cellular,0
1242451,,Cellular,0
1242452,,Cellular,0
1242453,,Cellular,0
1242454,,Cellular,0
1242455,,Cellular,0
1242456,,Cellular,0
1242457,,Cellular,0
1242458,,Cellular,0
1242462,,Cellular,0
1242463,,Cellular,0
1242464,,Cellular,0
1242465,,Cellular,0
1242466,,Cellular,0
1242467,,Cellular,0
1242468,,Cellular,0
1242470,,Cellular,0
1242471,,Cellular,0
1242472,,Cellular,0
1242473,,Cellular,0
1242474,,Cellular,0
1242475,,Cellular,0
1242476,,Cellular,0
1242477,,Cellular,0
1242478,,Cellular,0
1242479,,Cellular,0
1242481,,Cellular,0
1242524,,Cellular,0
1242525,,Cellular,0
1242533,,Cellular,0
1242535,,Cellular,0
1242544,,Cellular,0
1242551,,Cellular,0
1242552,,Cellular,0
1242553,,Cellular,0
1242554,,Cellular,0
1242556,,Cellular,0
1242557,,Cellular,0
1242558,,Cellular,0
1242559,,Cellular,0
1242565,,Cellular,0
1242577,,Cellular,0
1242636,,Cellular,0
1242646,,Cellular,0
1242727,,Cellular,0
973,,,0
973136,,Zain Wimax,0
9733,,Cellular,0
97336,,Cellular Zain,0
973377,,Cellular Zain,0
973383,,Cellular Batelco,0
973384,,Cellular Batelco,0
973385,,Cellular Batelco,0
973388,,Cellular Batelco,0
97339,,Cellular Batelco,0
973663,,Cellular Zain,0
973666,,Cellular Zain,0
9737,,Cellular,0
9738,,Premium,0
9739,,Premium,0
880,,,0
8801,,Cellular,0
88011,,Cellular City,0
88017,,Cellular Grameen,0
88018,,Cellular Aktel,0
88019,,Cellular Sheba,0
8802,,Dhaka,0
88031,,Chittagong,0
880821,,Sylhet,0
1246,,,0
124623,,Cellular,0
124624,,Cellular,0
1246250,,Cellular,0
1246251,,Cellular,0
1246252,,Cellular,0
1246253,,Cellular,0
1246254,,Cellular,0
1246255,,Cellular,0
1246256,,Cellular Digicel,0
1246257,,Cellular Digicel,0
1246258,,Cellular Digicel,0
1246259,,Cellular Digicel,0
124626,,Cellular Digicel,0
124682,,Cellular Digicel,0
124683,,Cellular Digicel,0
124684,,Cellular Digicel,0
375,,,0
37517,,Minsk,0
37525,,Cellular,0
37529,,Cellular,0
375291,,Cellular Velcom,0
375292,,Cellular MTS,0
375293,,Cellular Velcom,0
375295,,Cellular MTS,0
375296,,Cellular Velcom,0
375297,,Cellular MTS,0
375298,,Cellular MTS,0
375299,,Cellular Velcom,0
37533,,Cellular MTS,0
3753334,,Cellular,0
3753335,,Cellular,0
37544,,Cellular Velcom,0
32,,,0
3217,,Premium,0
3218,,Premium,0
322,,Brussels,0
323,,Antwerp,0
3244,,Premium,0
3245,,Premium,0
32460,,Cellular Proximus,0
324630,,Cellular Others,0
324660,,Cellular Others,0
324661,,Cellular Others,0
324662,,Cellular Others,0
324681,,Cellular Telenet,0
324682,,Cellular Telenet,0
324683,,Cellular Telenet,0
3247,,Cellular Proximus,0
3248,,Cellular Base,0
3249,,Cellular Mobistar,0
3270,,Premium,0
32702,,Universal Access,0
32703,,Universal Access,0
32704,,Universal Access,0
32706,,Universal Access,0
32707,,Universal Access,0
3272,,Premium,0
3273,,Premium,0
3275,,Premium,0
3277,,Premium,0
3290,,Premium,0
3295,,Premium,0
3296,,Premium,0
501,,,0
5012,,Belize City,0
5016,,Cellular,0
50166,,Cellular Speednet,0
50167,,Cellular Speednet,0
229,,,0
22964,,Cellular Moov,0
22965,,Cellular Moov,0
22966,,Cellular MTN,0
22967,,Cellular MTN,0
22968,,Cellular Globacom,0
2299,,Cellular,0
22990,,Cellular Libercom,0
22992,,Cellular BBCom,0
22993,,Cellular BBCom,0
22994,,Cellular Moov,0
22995,,Cellular Moov,0
22996,,Cellular MTN,0
22997,,Cellular MTN,0
22998,,Cellular Globacom,0
22999,,Cellular Globacom,0
1441,,,0
14413,,Cellular,0
144150,,Cellular,0
144151,,Cellular,0
144152,,Cellular,0
144153,,Cellular,0
1441590,,Cellular,0
1441599,,Cellular,0
14417,,Cellular,0
975,,,0
97516,,Cellular,0
97517,,Cellular,0
97577,,Cellular,0
97593,,Cellular,0
97594,,Cellular,0
97595,,Cellular,0
97596,,Cellular,0
97597,,Cellular,0
97598,,Cellular,0
97599,,Cellular,0
591,,,0
59122,,La Paz,0
5912213,,La Paz Rural,0
59122598,,La Paz Rural,0
59122895,,La Paz Rural,0
59122896,,La Paz Rural,0
59122897,,La Paz Rural,0
59122898,,La Paz Rural,0
59122899,,La Paz Rural,0
5912500,,Cities,0
5912510,,Cities,0
5912511,,Cities,0
5912512,,Cities,0
5912513,,Rural,0
59125130,,Cities,0
59125131,,Cities,0
5912514,,Cities,0
59125176,,Cities,0
59125177,,Cities,0
59125188,,Cities,0
59125189,,Cities,0
59125190,,Cities,0
59125191,,Cities,0
591251991,,Cities,0
591251992,,Cities,0
591251993,,Cities,0
591251994,,Cities,0
591251995,,Rural,0
591251996,,Rural,0
591251997,,Rural,0
591251998,,Rural,0
591251999,,Rural,0
5912520,,Cities,0
5912521,,Cities,0
5912522,,Cities,0
5912523,,Cities,0
5912524,,Cities,0
5912525,,Cities,0
5912526,,Cities,0
5912527,,Cities,0
5912528,,Cities,0
59125290,,Rural,0
59125291,,Cities,0
59125292,,Cities,0
59125293,,Cities,0
59125294,,Cities,0
59125295,,Cities,0
59125296,,Cities,0
59125297,,Cities,0
59125298,,Cities,0
59125299,,Cities,0
59125300,,Cities,0
59125301,,Cities,0
59125302,,Rural,0
59125303,,Cities,0
59125304,,Cities,0
59125305,,Cities,0
59125306,,Cities,0
59125307,,Cities,0
59125308,,Cities,0
59125309,,Cities,0
59125310,,Cities,0
59125311,,Cities,0
